,target,prediction,comment
1445,False,False,
2623,True,False,
2386,False,False,
1489,True,True,
2974,False,False,
3677,True,True,
3199,True,True,
1679,False,False,
1987,True,False,
3315,True,False,
3341,False,False,
2704,False,True,
140,True,True,
3231,False,False,
1428,False,False,
2239,False,False,
64,True,True,
709,True,True,
2606,True,True,
2865,True,True,
2840,False,False,
2715,True,True,
2494,True,True,
568,False,True,
558,False,False,
3208,True,True,
2574,True,True,
1844,True,True,
2724,False,False,
463,False,False,
2408,True,True,"not a good evoked question though"
1840,False,False,
3651,False,False,
99,False,True,
2101,True,True,
791,True,True,"not a good evoked question though"
1486,False,False,
551,True,True,
674,False,False,
1791,False,False,"interesting, difficult case"
1930,True,True,
1967,False,False,
945,True,True,
1355,True,True,
1410,False,False,
2451,False,False,
453,True,True,not a good evoked question though
188,True,True,not a good evoked question though
2782,True,False,
3641,False,False,
3260,False,False,
1011,True,True,
3594,False,True,
478,True,True,
2406,True,False,
3129,True,True,
957,False,True,
3576,False,False,
72,True,True,
314,True,True,
2275,False,True,
3176,True,True,
1372,False,False,
1081,True,True,
432,False,False,
1703,True,False,
3570,True,True,
392,True,False,
136,True,False,"not a good evoked question"
3252,False,True,not a good evoked question though
1946,True,True,
2962,False,True,
1430,False,False,
1546,True,False,
1180,True,True,
3615,False,False,
2376,False,False,
672,False,True,
720,False,False,
3248,True,True,
1886,False,False,
3243,False,False,
222,True,True,
92,True,True,
880,False,False,
2496,False,True,
3433,False,True,
842,False,False,
2591,False,False,
604,True,False,
3266,True,True,
522,False,True,
1627,True,True,
1612,False,False,
32,True,True,
751,True,True,
946,True,True,
1448,True,True,"not a good evoked question though"
1022,False,False,
1141,False,True,
2,True,True,
3059,True,True,not a question
2749,True,False,
941,False,True,
1794,True,True,
265,False,True,not a good question though
717,False,False,
1060,False,False,
861,False,False,
3340,False,False,
914,True,True,
521,False,False,
1708,False,False,
360,False,False,
1399,True,True,
2693,False,False,
3050,True,False,"question more like a side thought based on broader context"
595,False,False,
1024,False,False,
1363,False,False,
3375,True,True,
442,False,True,
3063,True,True,
303,False,False,
1636,False,False,
1767,False,False,
523,True,False,"person misunderstood the discourse"
1253,True,True,
1698,False,False,
3530,False,True,
2472,False,False,"nice example: question clearly not evoked, but heard to say why."
1121,True,True,
2838,True,True,
3535,True,False,"not enough context to tell"
3595,False,False,"example of question evoked by a sentence too early"
300,True,True,
2518,False,False,
2248,True,True,"not really a good evoked question here though"
17,False,False,
138,True,True,
1167,False,False,
3094,False,False,
3543,True,True,
63,False,False,
956,False,True,
3106,True,False,
3359,False,False,
2139,False,False,
1628,True,False,"question ignores more recent context"
2524,True,False,"question ignores more recent context"
1080,False,False,
3031,False,False,
2065,False,False,
73,True,True,
3330,True,False,"overly late clarification question"
2176,False,False,
735,True,True,
1853,True,True,"repeating an embedded explicit question"
1670,True,True,
3384,True,True,"question strangely formulated"
2282,False,False,
2860,False,False,
2461,True,True,
1535,True,True,"not a very good question though"
1874,False,False,
3681,False,False,
3567,False,False,
2149,False,False,
1697,False,True,
1530,True,False,"question already answered"
459,True,True,
3075,False,False,
2686,True,True,
2794,False,False,
1841,False,False,
154,False,True,
3295,False,False,
3584,True,True,
359,False,False,
814,False,False,
2768,False,False,
67,True,True,very bad question; not even grammatical
166,False,False,
3249,True,True,lazy question though
1625,True,False,"question already answered"
1524,False,True,
493,True,True,
2847,True,True,
1537,False,True,
1728,False,False,
1094,True,True,question already answered though
2784,True,True,lazy question though
2457,False,False,
3025,True,True,
2365,False,False,
2306,True,False,
3008,True,True,
1603,True,True,
2263,False,True,
1402,True,True,
2553,False,False,
